source_id,title,category,language,source_url,owner,approval_status,version,last_reviewed,local_path,cleaned_path,checksum
SRC-ACC-001,Regular Savings Account,accounts,english,https://www.combank.lk/personal-banking/savings-accounts/regular-savings-account,Commercial Bank of Ceylon PLC,approved,1.0,2026-07-29,documents/raw/accounts_combank_regular_savings.html,documents/cleaned/accounts_combank_regular_savings.md,036ed052d6a78020d0951d75d165778ad0d310ce01a1788c0d3ee89b58e85315
SRC-CARD-001,Card Dispute Management Policy,cards,english,https://www.combank.lk/info/34,Commercial Bank of Ceylon PLC,approved,1.0,2026-07-29,documents/raw/cards_combank_dispute_policy.html,documents/cleaned/cards_combank_dispute_policy.md,ad887aa0ed93d915ca9d3bea0b51398c43c8fcdccbd268feecced686d7df782e
SRC-TRF-001,Card to Card Fund Transfer Facility,transfers,english,https://www.combank.lk/personal-banking/cards/card-to-card-fund-transfer-facility,Commercial Bank of Ceylon PLC,approved,1.0,2026-07-29,documents/raw/transfers_combank_card_to_card.html,documents/cleaned/transfers_combank_card_to_card.md,d14f15fd1b21e7da5a2651df41c1eecaa73dd8a1ba34ebe3a1a0eb68b1b6948d
SRC-LOAN-001,Pahasu Personal Loan Scheme,loans,english,https://www.peoplesbank.lk/quick-easy-loans-a-c-en/,People's Bank Sri Lanka,approved,1.0,2026-07-29,documents/raw/loans_peoples_bank_pahasu.html,documents/cleaned/loans_peoples_bank_pahasu.md,2941770f8da2a12ae6f60948938a5e134e5b92f4e4310d3e5ba62f19df30413e
SRC-FRAUD-001,Beware of Online Scams - Protect Your Bank Passwords and PINs,fraud_security,english,https://www.cbsl.gov.lk/en/news/beware-of-online-scams-protect-your-bank-passwords-and-pin,Central Bank of Sri Lanka,approved,1.0,2026-07-29,documents/raw/fraud_cbsl_online_scams.html,documents/cleaned/fraud_cbsl_online_scams.md,e79612b73b28c63d812294ef12469e8a1478df6cdc6643d5f71c6be31a9002e7
