# Label models as probability estimators on test, before any queue is run. score_sd/iqr report signal variability, which Argon & Ziya (2009) sec 7 show is the property that lowers long-run cost.
label_model,log_loss,macro_f1,score_sd,score_iqr
logpool,0.26827052477877356,0.8983154723039303,0.008567560345385134,0.00621763611192609
chain-full,0.311105598168298,0.8748780276596778,0.008033040183046687,0.0061279881727368994
chain-intent,0.3160417945955626,0.8742280177289471,0.008002432843470872,0.0061794017004398235
stacked,0.33332438330263847,0.8914045974216758,0.008676796215321358,0.006246540864013811
marginal,0.36969368448816536,0.8900882530642412,0.00884833656166181,0.006241106506422511
