track,native_script,classical,encoder,gain,ci_low,ci_high,p,n,significant_05
english,True,0.7198,0.8032,0.0834,0.0383,0.1327,0.0,3079,True
sinhala,True,0.6412,0.7234,0.0822,0.0315,0.1353,0.004,3079,True
tamil,True,0.7249,0.7606,0.0357,-0.0098,0.0839,0.144,3079,False
singlish,False,0.6633,0.6757,0.0124,-0.0455,0.0655,0.712,3079,False
tamilish,False,0.5722,0.5948,0.0225,-0.044,0.0825,0.49,3079,False
sinhala-minus-singlish,,,,0.0698,0.014,0.1283,0.012,3079,True
tamil-minus-tamilish,,,,0.0132,-0.0664,0.0882,0.762,3079,False
