# Layer 1, test, ordered once. split=e7b5934392cd label_version=v8 sla_high=30.0 sla_med=120.0 sla_low=480.0 agents=5 service_mean=8.0min tickets_per_rep=1000 generated_by=run_system_eval.py
system,kendall_tau_b,ndcg@10,P_high@10,ndcg@50,P_high@50,ndcg@100,P_high@100,base_rate_high
TUS (LaBSE),0.6863029314769921,1.0,1.0,1.0,1.0,1.0,1.0,0.09483598570964599
TUS (TF-IDF),0.6657507744463144,1.0,1.0,1.0,1.0,1.0,1.0,0.09483598570964599
priority posterior only,0.6897790252038288,1.0,1.0,1.0,1.0,0.9962334658360144,0.99,0.09483598570964599
predicted tier (argmax),0.8223237638943862,0.35106842466815347,0.5,0.7643381872323751,0.88,0.8384062714447658,0.9,0.09483598570964599
sentiment only,0.2652853667674336,0.8958531670948342,0.8,0.9056873759391412,0.82,0.8766967673322537,0.76,0.09483598570964599
intent criticality only,0.4271602960129063,0.670711588970112,0.6,0.799786371848681,0.74,0.8277951496032505,0.77,0.09483598570964599
oracle (gold tier),0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.09483598570964599
