# dev weight-fit surface. fitted_on=dev fit_rhos=(0.95, 1.05) split=e7b5934392cd label_version=v8 sla_high=30.0 sla_med=120.0 sla_low=480.0 agents=5 service_mean=8.0min tickets_per_rep=1000 generated_by=run_system_eval.py
w_priority,w_sentiment,w_intent,alpha,rel_tardiness,high_mean_wait,low_p95_wait
0.0,0.0,1.0,0.0,0.015098467516475908,2.1054735434479297,140.56067192459338
0.0,0.0,1.0,0.5,0.015117489652140303,2.1021934772546382,140.50741145385564
0.0,0.0,1.0,1.0,0.015084085520489848,2.10701714539493,140.29352219983363
0.0,0.0,1.0,2.0,0.015098016225598539,2.08523662216717,140.29360015937823
0.0,0.0,1.0,4.0,0.015117608268687693,2.096082593830713,140.3680021300851
0.0,0.0,1.0,8.0,0.015091013559853664,2.1069926627464635,140.2324983338204
0.0,0.0,1.0,16.0,0.015092177809200752,2.086713106036013,140.18756495636856
0.0,0.05,0.95,0.0,0.01851787668698661,1.700055556173325,320.89687884428275
0.0,0.05,0.95,0.5,0.017421942584326992,1.6998758716947007,310.19620290215926
0.0,0.05,0.95,1.0,0.016546943328624025,1.7063851545200723,299.0763965151222
0.0,0.05,0.95,2.0,0.015412679237067786,1.70535785566714,286.700147135542
0.0,0.05,0.95,4.0,0.015207864680943824,1.9408576791296863,278.1727439187626
0.0,0.05,0.95,8.0,0.014416774445749202,1.9808038263093122,269.83856061189306
0.0,0.05,0.95,16.0,0.013677430372452703,1.9649051203730439,262.0949822929815
0.0,0.1,0.9,0.0,0.01884090970890667,1.7589197390970366,319.3698224674168
0.0,0.1,0.9,0.5,0.01747733482141167,1.758961226313059,306.33144467031497
0.0,0.1,0.9,1.0,0.016874221590367538,1.7526787219610183,295.26129427362275
0.0,0.1,0.9,2.0,0.016073540687202622,1.9661799772206503,290.4239718794812
0.0,0.1,0.9,4.0,0.015000228277787618,2.008739574079924,278.29299485560267
0.0,0.1,0.9,8.0,0.014292725207888731,2.003110086671565,269.78204014550244
0.0,0.1,0.9,16.0,0.013441266890154563,2.035995032410415,264.42046089607715
0.0,0.15,0.85,0.0,0.018888747547340826,1.792339622837677,318.3110744369256
0.0,0.15,0.85,0.5,0.017484187545104387,1.803629291727451,309.1914073133505
0.0,0.15,0.85,1.0,0.016815434322396895,1.8104830835704586,299.1317246945383
0.0,0.15,0.85,2.0,0.016094067397858937,2.0248032175582953,288.9280320325809
0.0,0.15,0.85,4.0,0.014728037732329877,1.9955256304415432,279.48756485532766
0.0,0.15,0.85,8.0,0.014073657983842205,2.032353213233124,270.48462945567223
0.0,0.15,0.85,16.0,0.013347045472299215,1.98617548007167,260.5688071067812
0.0,0.2,0.8,0.0,0.018664583541320494,1.7518062815866593,320.4422376406477
0.0,0.2,0.8,0.5,0.017409152237041665,1.834978608886358,307.10216072315313
0.0,0.2,0.8,1.0,0.016611786133084398,1.7405923697559025,297.58260715146287
0.0,0.2,0.8,2.0,0.015442542882202209,1.7787826839317178,288.06511592549964
0.0,0.2,0.8,4.0,0.01480953935617981,1.943447613483051,277.7361731370022
0.0,0.2,0.8,8.0,0.013945913932021154,2.0204488169317205,268.9343067323645
0.0,0.2,0.8,16.0,0.013099466129727887,2.0143065200335855,259.5634350370133
0.0,0.25,0.75,0.0,0.01900727929762904,1.7804014169340414,320.2256144135645
0.0,0.25,0.75,0.5,0.017731556277556317,1.783226624493107,307.0058164808657
0.0,0.25,0.75,1.0,0.017021589384721106,1.7884669011362213,295.19054333455614
0.0,0.25,0.75,2.0,0.016016087346984748,1.997004250395981,288.2831952435458
