# Layer 5 signal ablation, rho=1.05. split=e7b5934392cd label_version=v8 sla_high=30.0 sla_med=120.0 sla_low=480.0 agents=5 service_mean=8.0min tickets_per_rep=1000 generated_by=run_system_eval.py
variant,w_priority,w_sentiment,w_intent,alpha,high_mean_wait,low_p95_wait,rel_tardiness,high_rel_tardiness,low_rel_tardiness,ranking_P_high@100
priority only,1.0,0.0,0.0,16.0,2.1463142981167302,325.1087552969583,0.0033319329386390316,0.0067806692581381355,0.004388054387713305,0.99
priority + sentiment,0.5,0.5,0.0,16.0,2.3438279955182932,327.14854484928037,0.003854482927914969,0.009485428247115213,0.004348473200936323,1.0
priority + intent,0.5,0.0,0.5,16.0,1.8450264708108748,374.70544201935917,0.0063509280344998895,0.004658903979868111,0.009914159072534286,0.98
full (fitted),0.8,0.1,0.1,16.0,1.9713502040272244,372.55941937466105,0.00610153197251379,0.005898169932947542,0.009234744666710426,1.0
