# Layer 3 tested: mean gold-High wait per track MINUS english, bootstrapped over simulation seeds. `spread_biased` is max-minus-min across tracks and is upward-biased by noise -- FIFO scores 16 min on it. Use the contrasts. split=e7b5934392cd label_version=v8 sla_high=30.0 sla_med=120.0 sla_low=480.0 agents=5 service_mean=8.0min tickets_per_rep=1000 generated_by=run_system_eval.py
rho,policy,track,minus_english,ci_lo,ci_hi,significant,spread_biased
0.85,fifo,singlish,0.03485684234994016,-0.3142679288538647,0.3858450538947009,False,4.058834365020629
0.85,fifo,sinhala,0.01558430384685126,-0.34389562895488796,0.38865012404756666,False,4.058834365020629
0.85,fifo,tamil,-0.038595008640790615,-0.407611329711236,0.33347463642437447,False,4.058834365020629
0.85,fifo,tamilish,-0.2192986524999153,-0.6044911063585166,0.1548747670441034,False,4.058834365020629
0.85,tier,singlish,0.39529039156788087,0.23448345537213805,0.5593342354303495,True,1.9340903414875248
0.85,tier,sinhala,0.10765598619772013,-0.04270589389323271,0.25906254259351164,False,1.9340903414875248
0.85,tier,tamil,0.02649909560388398,-0.12299391942810049,0.1816814801373127,False,1.9340903414875248
0.85,tier,tamilish,0.6479725712078449,0.4853493983321299,0.8244970044105611,True,1.9340903414875248
0.85,tus,singlish,0.1354540614809406,0.03889573460113252,0.2241235901521553,True,1.0026471611739407
0.85,tus,sinhala,0.06934839096543435,-0.021646156810887485,0.15779079867435222,False,1.0026471611739407
0.85,tus,tamil,0.00943920686194641,-0.0753812268142534,0.09642491182335201,False,1.0026471611739407
0.85,tus,tamilish,0.16599753741644319,0.07057632085886625,0.2590904157576862,True,1.0026471611739407
0.85,oracle,singlish,0.012889515916862014,-0.04913414170704098,0.07698290458727,False,0.7528541972541515
0.85,oracle,sinhala,-0.005754502608479214,-0.06929417119171775,0.055815027169318694,False,0.7528541972541515
0.85,oracle,tamil,-0.005832494668873835,-0.07006147918025173,0.061888197967531935,False,0.7528541972541515
0.85,oracle,tamilish,-0.002741846091653397,-0.06695737829207815,0.06024625857923724,False,0.7528541972541515
0.85,tier - tus (paired),singlish,0.2598363300869402,0.11411427398196103,0.40366623201236734,True,
0.85,tier - tus (paired),sinhala,0.038307595232285774,-0.09102563799303871,0.18061955279120423,False,
0.85,tier - tus (paired),tamil,0.017059888741937576,-0.12001925449832548,0.1692391525017143,False,
0.85,tier - tus (paired),tamilish,0.4819750337914017,0.3394010679883808,0.6281597655907613,True,
0.95,fifo,singlish,0.03786270102071271,-0.7031860712639019,0.7109068860389405,False,7.599875889159702
0.95,fifo,sinhala,-0.15277088132670502,-0.82344864354084,0.507275256728254,False,7.599875889159702
0.95,fifo,tamil,-0.2881833504865098,-1.065184120430318,0.4724418293591692,False,7.599875889159702
0.95,fifo,tamilish,-0.45462672757053696,-1.1228039616836638,0.2142440917537488,False,7.599875889159702
0.95,tier,singlish,1.1698991518449713,0.7565767143762613,1.5908350358965282,True,4.7924533527154045
0.95,tier,sinhala,0.08861593334635359,-0.2716084444285856,0.4416162710405661,False,4.7924533527154045
0.95,tier,tamil,-0.03664553253862353,-0.4316944212311683,0.3331374149677275,False,4.7924533527154045
0.95,tier,tamilish,2.1367348352911106,1.682706183477276,2.6294403568080265,True,4.7924533527154045
0.95,tus,singlish,0.17749392819029106,0.06583860022341795,0.2873275786835264,True,1.279998166079576
0.95,tus,sinhala,0.06543338639519368,-0.04475733414485157,0.1735043938582407,False,1.279998166079576
0.95,tus,tamil,0.05161325457170494,-0.051878065894546736,0.15314898512277622,False,1.279998166079576
0.95,tus,tamilish,0.3395299769983312,0.21728827994079683,0.4597258885837853,True,1.279998166079576
0.95,oracle,singlish,0.022243426592374237,-0.05026390620317405,0.09144882868663191,False,0.8311024775578361
0.95,oracle,sinhala,-0.008110187989810448,-0.07638600466870778,0.05675153416591353,False,0.8311024775578361
0.95,oracle,tamil,-0.020929936633573867,-0.09124079378921182,0.04795777631274415,False,0.8311024775578361
0.95,oracle,tamilish,0.02332320594674716,-0.04871159189749447,0.09867482738051228,False,0.8311024775578361
0.95,tier - tus (paired),singlish,0.9924052236546802,0.5895744788480334,1.4032983164870092,True,
0.95,tier - tus (paired),sinhala,0.023182546951159906,-0.2847666244454382,0.33088004833595264,False,
