# Layer 3: mean wait for gold-High tickets, by track. `oracle` is the gold-label control -- any gap there is the arrival process, not the model. split=e7b5934392cd label_version=v8 sla_high=30.0 sla_med=120.0 sla_low=480.0 agents=5 service_mean=8.0min tickets_per_rep=1000 generated_by=run_system_eval.py
rho,policy,language,mean_wait_min,std,count
0.85,fifo,english,5.828200488099312,3.675932148822729,200
0.85,fifo,singlish,5.863057330449252,3.642113488805725,200
0.85,fifo,sinhala,5.843784791946162,3.695572129826613,200
0.85,fifo,tamil,5.789605479458521,3.716512893642225,200
0.85,fifo,tamilish,5.608901835599397,3.641693849816279,200
0.85,oracle,english,0.9890846221376525,0.36951213311604625,200
0.85,oracle,singlish,1.0019741380545144,0.35915278276242396,200
0.85,oracle,sinhala,0.9833301195291732,0.36080272644916106,200
0.85,oracle,tamil,0.9832521274687785,0.3605154973837281,200
0.85,oracle,tamilish,0.9863427760459991,0.38005264135415956,200
0.85,random,english,5.391928347154266,4.305618321644156,200
0.85,random,singlish,5.392816733808308,4.8113454799992255,200
0.85,random,sinhala,5.66266003210581,5.887446408232561,200
0.85,random,tamil,6.007600027210161,6.1219254634099745,200
0.85,random,tamilish,5.531639501885938,6.6036761297556605,200
0.85,tier,english,1.2906428819331988,0.7638350617774663,200
0.85,tier,singlish,1.6859332735010795,1.1478259038164649,200
0.85,tier,sinhala,1.398298868130919,1.0530812521059838,200
0.85,tier,tamil,1.3171419775370827,0.9049922280289071,200
0.85,tier,tamilish,1.9386154531410438,1.2409212288150926,200
0.85,tus,english,1.045914816810844,0.4898673478227824,200
0.85,tus,singlish,1.1813688782917846,0.5177639968571777,200
0.85,tus,sinhala,1.1152632077762783,0.4844960753097308,200
0.85,tus,tamil,1.0553540236727905,0.46608368540987644,200
0.85,tus,tamilish,1.2119123542272872,0.5449269594416181,200
0.95,fifo,english,16.916774404102117,12.542601052567104,200
0.95,fifo,singlish,16.95463710512283,11.995994429356044,200
0.95,fifo,sinhala,16.764003522775415,12.204368428731282,200
0.95,fifo,tamil,16.628591053615608,12.267216041658605,200
0.95,fifo,tamilish,16.462147676531583,11.792330489943515,200
0.95,oracle,english,1.2946464179848969,0.3865529302373433,200
0.95,oracle,singlish,1.316889844577271,0.3927024440025429,200
0.95,oracle,sinhala,1.2865362299950862,0.41568165736855756,200
0.95,oracle,tamil,1.2737164813513229,0.39058010258222914,200
0.95,oracle,tamilish,1.3179696239316439,0.4298744788964864,200
0.95,random,english,15.793152460467486,17.06301398268932,200
0.95,random,singlish,16.652395306597143,18.462275661396728,200
0.95,random,sinhala,15.775339246495825,20.102412262532017,200
0.95,random,tamil,17.42150731231584,21.761517800949782,200
0.95,random,tamilish,17.319719990762213,22.348718516124176,200
0.95,tier,english,2.367937041528443,2.2233924250877055,200
0.95,tier,singlish,3.537836193373414,3.101879478078929,200
0.95,tier,sinhala,2.4565529748747963,2.1482217922027336,200
0.95,tier,tamil,2.3312915089898194,2.126700804186491,200
0.95,tier,tamilish,4.504671876819554,3.67290446025776,200
0.95,tus,english,1.4069666211870324,0.602239220453434,200
0.95,tus,singlish,1.5844605493773236,0.6234018368236889,200
0.95,tus,sinhala,1.4724000075822261,0.6037107186364004,200
0.95,tus,tamil,1.4585798757587376,0.5502242646232968,200
0.95,tus,tamilish,1.7464965981853635,0.7193013098345884,200
1.05,fifo,english,52.87501030558412,28.995794441807146,200
1.05,fifo,singlish,52.02860953909355,28.92490316190066,200
1.05,fifo,sinhala,52.65018314641506,30.45178728153621,200
1.05,fifo,tamil,52.64434559723883,29.1357980903967,200
1.05,fifo,tamilish,52.05833126167485,28.512288127672125,200
1.05,oracle,english,1.4720867423926194,0.36103138009242836,200
1.05,oracle,singlish,1.4517965698336939,0.3500917487803076,200
1.05,oracle,sinhala,1.4763767126964489,0.3870636307110723,200
1.05,oracle,tamil,1.4758395365403343,0.39852350636522554,200
1.05,oracle,tamilish,1.4643338124871605,0.3525873836764164,200
1.05,random,english,53.07700953141417,47.8575611939405,200
1.05,random,singlish,51.008509448491985,48.00612248380804,200
1.05,random,sinhala,49.72742210041558,46.08228988527784,200
1.05,random,tamil,52.41650167462637,46.04088344877593,200
1.05,random,tamilish,53.61858261215324,51.89059963905162,200
1.05,tier,english,4.946085174326815,5.49348300046111,200
1.05,tier,singlish,9.015761189749094,8.270850432651864,200
1.05,tier,sinhala,5.319675130677997,5.827665133672854,200
1.05,tier,tamil,4.938809746244375,5.621487763829928,200
1.05,tier,tamilish,11.93278374514892,9.149317127144394,200
1.05,tus,english,1.7406648851237267,1.3694942919898834,200
1.05,tus,singlish,2.1102255466327966,1.7535784479721572,200
1.05,tus,sinhala,1.9836939987860047,1.3338312355136503,200
1.05,tus,tamil,1.756940524049065,0.9160563761961625,200
1.05,tus,tamilish,2.2391828930660913,1.0607386837502428,200
