# Layer 2 raw replications. split=e7b5934392cd label_version=v8 sla_high=30.0 sla_med=120.0 sla_low=480.0 agents=5 service_mean=8.0min tickets_per_rep=1000 generated_by=run_system_eval.py
policy,rho,seed,high_mean_wait,high_p95_wait,low_p95_wait,mean_wait,sla_breach_rate,high_sla_breach_rate,rel_tardiness,high_rel_tardiness,low_rel_tardiness
random,0.85,0,4.7013427463904485,25.958718927709718,24.603846506864556,4.1538056070640375,0.005,0.05434782608695652,0.0040666755976424265,0.044202995626548114,0.0
random,0.85,1,4.224278315262075,17.39942660126236,14.863788127359252,3.531840768687471,0.003,0.029411764705882353,0.002947249616953364,0.02889460408777808,0.0
random,0.85,2,3.2927251552470946,17.647241313201825,24.706761051920314,5.077779388899534,0.008,0.034482758620689655,0.0024427129225886852,0.015105947583270137,0.0
random,0.85,3,9.199094967045363,38.92550321920827,25.168227788929457,7.456959890889886,0.012,0.06896551724137931,0.016757427582727514,0.15034444576270395,0.0
random,0.85,4,5.179420556104857,21.232962371070847,20.471984390080433,4.300890402345003,0.005,0.043478260869565216,0.005729621218565963,0.04982279320492141,0.0
random,0.85,5,9.177001207817591,42.54122342478415,42.370349900204594,9.039040839935085,0.011,0.07317073170731707,0.014508427554959926,0.11562163898711872,0.0
random,0.85,6,4.666377854580799,18.86775758249354,67.64737607252547,11.21983571340407,0.01,0.03409090909090909,0.008374761189580427,0.04057229815301438,0.0
random,0.85,7,5.360634301595402,17.21753578861861,18.674395303804598,4.871064729301703,0.003,0.02912621359223301,0.0068006916807522725,0.0660261328228376,0.0
random,0.85,8,5.760477335841087,26.363200960125194,40.83449529185885,7.810812678156219,0.007,0.022988505747126436,0.005478612611579807,0.026275042454478953,0.0
random,0.85,9,3.768038692155067,12.049856757979244,20.73396842670092,5.9027699673501415,0.009,0.02127659574468085,0.0068872398002383815,0.042867638018416115,0.0
random,0.85,10,4.429315500371196,13.192003351362835,34.54430011412935,6.052679553557379,0.005,0.047058823529411764,0.004599781574858259,0.05064279368172431,0.0
random,0.85,11,5.297375214097787,25.31649095167257,26.96702686675394,5.334044560896986,0.004,0.04819277108433735,0.0036655194350510545,0.04416288475965126,0.0
random,0.85,12,2.8220099934513403,12.010085020871074,15.99523602918768,3.1386226495158156,0.003,0.02702702702702703,0.0006929607325972512,0.006242889482858118,0.0
random,0.85,13,7.602680308102594,35.623541508483214,28.441127832459454,5.294778991539745,0.008,0.07547169811320754,0.008827862740570937,0.08328172396765035,0.0
random,0.85,14,4.077538320859122,22.159833334487374,23.629814594013997,4.52854996696793,0.002,0.021505376344086023,0.00016623336283016295,0.0017874555143028272,0.0
random,0.85,15,3.115839881015945,14.434945967736532,17.922284772122868,4.298284387948646,0.002,0.012195121951219513,0.00020129143902026077,4.305973392856168e-05,0.0
random,0.85,16,4.8650786229405,26.26739980238682,41.28861016429503,8.0101065610047,0.007,0.05102040816326531,0.007553161598369691,0.040153212179363365,0.0
random,0.85,17,5.7339310508163805,38.271371390186005,23.57020358207825,5.220102488813324,0.007,0.07407407407407407,0.0033788874996533405,0.040018583275690314,0.0
random,0.85,18,3.351327960629653,15.103996284445735,13.252261530722043,2.985639191614502,0.001,0.011363636363636364,0.0006573096992143822,0.007469428400163434,0.0
random,0.85,19,5.115801114670411,28.99370957728412,24.754302876320597,5.423651587636573,0.005,0.056179775280898875,0.0027438194603480043,0.030829432138741623,0.0
random,0.85,20,7.393561686136844,28.056865248203877,26.653331986180575,5.266547521666186,0.006,0.047619047619047616,0.007553709939769551,0.08335619041681229,0.0
random,0.85,21,7.220441370139867,35.082071236222696,37.08712850106674,7.996895583523464,0.015,0.06363636363636363,0.012166199423900646,0.09094553417186754,0.0
random,0.85,22,11.63567229303204,56.32745803535263,22.750757310297864,5.54274283988306,0.011,0.1,0.020977045634552247,0.21752489535527136,0.0
random,0.85,23,5.660992868624063,25.70445860605447,24.10525475457624,5.617365631620358,0.007,0.05102040816326531,0.0036835095910692037,0.03406053028258572,0.0
random,0.85,24,4.974851097335071,30.482559642138668,23.111511748377808,4.979264484105561,0.006,0.06666666666666667,0.002160214897848175,0.02400238775386861,0.0
random,0.85,25,10.523828365653923,42.82869923846792,78.40897916927402,12.962790184805076,0.016,0.08695652173913043,0.019638340607848952,0.1579506007766918,0.0
random,0.85,26,3.4008561243629702,15.299381236496693,16.203108721887702,3.33045184683128,0.002,0.019801980198019802,0.00027931089143778536,0.0027654543706711423,0.0
random,0.85,27,6.739094738341707,30.037448212758726,32.55991746860564,7.282132729865767,0.009,0.05555555555555555,0.009699988071176644,0.06848966980579145,0.0
random,0.85,28,3.111022140131587,13.818739441222306,27.72066702093111,4.736864072664565,0.002,0.020202020202020204,0.0009194948594700918,0.00928782686333426,0.0
random,0.85,29,4.320322586689168,16.039519073284165,29.878548974013654,7.1003434437634665,0.005,0.044444444444444446,0.0030860775544123953,0.021237441441433944,0.0
random,0.85,30,17.989768562010077,79.52079163351588,27.51502245636857,9.869532383212777,0.021,0.13829787234042554,0.04926468721541142,0.3995935844214007,0.0001978123054370997
random,0.85,31,5.0793853238179825,26.147355561568432,28.33257197565351,4.847518781807353,0.004,0.0425531914893617,0.0031503443949438175,0.0335143020738704,0.0
