Model,Language,Intent_Class,Precision,Recall,F1_Score,Support
Logistic Regression,sinhala,automatic_top_up,100.0,92.5,96.1,40
Logistic Regression,sinhala,balance_not_updated_after_bank_transfer,76.92,75.0,75.95,40
Logistic Regression,sinhala,balance_not_updated_after_cheque_or_cash_deposit,90.7,97.5,93.98,40
Logistic Regression,sinhala,beneficiary_not_allowed,97.14,85.0,90.67,40
Logistic Regression,sinhala,cancel_transfer,97.5,97.5,97.5,40
Logistic Regression,sinhala,card_about_to_expire,100.0,92.5,96.1,40
Logistic Regression,sinhala,card_acceptance,81.25,97.5,88.64,40
Logistic Regression,sinhala,card_arrival,69.39,85.0,76.4,40
Logistic Regression,sinhala,card_delivery_estimate,75.0,67.5,71.05,40
Logistic Regression,sinhala,card_linking,86.05,92.5,89.16,40
Logistic Regression,sinhala,card_not_working,85.37,87.5,86.42,40
Logistic Regression,sinhala,card_payment_fee_charged,68.89,77.5,72.94,40
Logistic Regression,sinhala,card_payment_not_recognised,72.92,87.5,79.55,40
Logistic Regression,sinhala,card_payment_wrong_exchange_rate,86.36,95.0,90.48,40
Logistic Regression,sinhala,card_swallowed,92.31,90.0,91.14,40
Logistic Regression,sinhala,cash_withdrawal_charge,94.44,85.0,89.47,40
Logistic Regression,sinhala,cash_withdrawal_not_recognised,80.95,85.0,82.93,40
Logistic Regression,sinhala,change_pin,96.15,62.5,75.76,40
Logistic Regression,sinhala,compromised_card,80.49,82.5,81.48,40
Logistic Regression,sinhala,contactless_not_working,97.37,92.5,94.87,40
Logistic Regression,sinhala,country_support,83.33,100.0,90.91,40
Logistic Regression,sinhala,declined_card_payment,80.0,90.0,84.71,40
Logistic Regression,sinhala,declined_cash_withdrawal,75.0,90.0,81.82,40
Logistic Regression,sinhala,declined_transfer,100.0,82.5,90.41,40
Logistic Regression,sinhala,direct_debit_payment_not_recognised,94.12,80.0,86.49,40
Logistic Regression,sinhala,disposable_card_limits,48.65,90.0,63.16,40
Logistic Regression,sinhala,edit_personal_details,92.5,92.5,92.5,40
Logistic Regression,sinhala,exchange_charge,87.8,90.0,88.89,40
Logistic Regression,sinhala,exchange_rate,70.18,100.0,82.47,40
Logistic Regression,sinhala,exchange_via_app,84.62,27.5,41.51,40
Logistic Regression,sinhala,extra_charge_on_statement,87.1,67.5,76.06,40
Logistic Regression,sinhala,failed_transfer,73.08,95.0,82.61,40
Logistic Regression,sinhala,fiat_currency_support,80.95,85.0,82.93,40
Logistic Regression,sinhala,get_disposable_virtual_card,80.0,10.0,17.78,40
Logistic Regression,sinhala,get_physical_card,67.86,95.0,79.17,40
Logistic Regression,sinhala,getting_spare_card,75.0,52.5,61.76,40
Logistic Regression,sinhala,getting_virtual_card,50.65,97.5,66.67,40
Logistic Regression,sinhala,lost_or_stolen_card,73.91,85.0,79.07,40
Logistic Regression,sinhala,lost_or_stolen_phone,100.0,90.0,94.74,40
Logistic Regression,sinhala,order_physical_card,92.0,57.5,70.77,40
Logistic Regression,sinhala,passcode_forgotten,100.0,100.0,100.0,40
Logistic Regression,sinhala,pending_card_payment,97.14,85.0,90.67,40
Logistic Regression,sinhala,pending_cash_withdrawal,97.37,92.5,94.87,40
Logistic Regression,sinhala,pending_top_up,78.72,92.5,85.06,40
Logistic Regression,sinhala,pending_transfer,72.09,77.5,74.7,40
Logistic Regression,sinhala,pin_blocked,89.19,82.5,85.71,40
Logistic Regression,sinhala,receiving_money,94.44,85.0,89.47,40
Logistic Regression,sinhala,request_refund,91.89,85.0,88.31,40
Logistic Regression,sinhala,reverted_card_payment?,89.19,82.5,85.71,40
Logistic Regression,sinhala,supported_cards_and_currencies,83.33,87.5,85.37,40
Logistic Regression,sinhala,terminate_account,81.63,100.0,89.89,40
Logistic Regression,sinhala,top_up_by_bank_transfer_charge,72.34,85.0,78.16,40
Logistic Regression,sinhala,top_up_by_card_charge,91.18,77.5,83.78,40
Logistic Regression,sinhala,top_up_by_cash_or_cheque,91.67,82.5,86.84,40
Logistic Regression,sinhala,top_up_failed,82.35,70.0,75.68,40
Logistic Regression,sinhala,top_up_limits,92.68,95.0,93.83,40
Logistic Regression,sinhala,top_up_reverted,78.05,80.0,79.01,40
Logistic Regression,sinhala,topping_up_by_card,71.11,80.0,75.29,40
Logistic Regression,sinhala,transaction_charged_twice,86.96,100.0,93.02,40
Logistic Regression,sinhala,transfer_fee_charged,88.24,75.0,81.08,40
Logistic Regression,sinhala,transfer_into_account,88.89,80.0,84.21,40
Logistic Regression,sinhala,transfer_not_received_by_recipient,77.5,77.5,77.5,40
Logistic Regression,sinhala,transfer_timing,82.5,82.5,82.5,40
Logistic Regression,sinhala,unable_to_verify_identity,86.49,80.0,83.12,40
Logistic Regression,sinhala,verify_my_identity,64.44,72.5,68.24,40
Logistic Regression,sinhala,verify_source_of_funds,90.91,100.0,95.24,40
Logistic Regression,sinhala,verify_top_up,100.0,100.0,100.0,40
Logistic Regression,sinhala,virtual_card_not_working,100.0,30.0,46.15,40
Logistic Regression,sinhala,visa_or_mastercard,85.71,90.0,87.8,40
Logistic Regression,sinhala,why_verify_identity,86.49,80.0,83.12,40
Logistic Regression,sinhala,wrong_amount_of_cash_received,94.12,80.0,86.49,40
Logistic Regression,sinhala,wrong_exchange_rate_for_cash_withdrawal,91.18,77.5,83.78,40
Logistic Regression,singlish,Refund_not_showing_up,88.37,95.0,91.57,40
Logistic Regression,singlish,activate_my_card,97.3,90.0,93.51,40
Logistic Regression,singlish,age_limit,97.56,100.0,98.77,40
Logistic Regression,singlish,apple_pay_or_google_pay,100.0,100.0,100.0,40
Logistic Regression,singlish,atm_support,94.44,87.18,90.67,39
Logistic Regression,singlish,automatic_top_up,100.0,90.0,94.74,40
Logistic Regression,singlish,balance_not_updated_after_bank_transfer,81.08,75.0,77.92,40
Logistic Regression,singlish,balance_not_updated_after_cheque_or_cash_deposit,88.64,97.5,92.86,40
Logistic Regression,singlish,beneficiary_not_allowed,97.14,85.0,90.67,40
Logistic Regression,singlish,cancel_transfer,95.0,95.0,95.0,40
Logistic Regression,singlish,card_about_to_expire,100.0,95.0,97.44,40
Logistic Regression,singlish,card_acceptance,84.44,95.0,89.41,40
Logistic Regression,singlish,card_arrival,87.5,87.5,87.5,40
Logistic Regression,singlish,card_delivery_estimate,76.74,82.5,79.52,40
Logistic Regression,singlish,card_linking,92.5,92.5,92.5,40
Logistic Regression,singlish,card_not_working,83.33,87.5,85.37,40
Logistic Regression,singlish,card_payment_fee_charged,72.0,90.0,80.0,40
Logistic Regression,singlish,card_payment_not_recognised,77.78,87.5,82.35,40
Logistic Regression,singlish,card_payment_wrong_exchange_rate,69.81,92.5,79.57,40
Logistic Regression,singlish,card_swallowed,94.87,92.5,93.67,40
Logistic Regression,singlish,cash_withdrawal_charge,97.22,87.5,92.11,40
Logistic Regression,singlish,cash_withdrawal_not_recognised,82.05,80.0,81.01,40
Logistic Regression,singlish,change_pin,90.91,50.0,64.52,40
Logistic Regression,singlish,compromised_card,79.55,87.5,83.33,40
Logistic Regression,singlish,contactless_not_working,100.0,95.0,97.44,40
