id,language,tokenizer,model_id,word_count,subword_count,seq_length,fragmentation_ratio,unk_rate,trunc_64,trunc_128,trunc_256,trunc_512
6056,english,xlm_roberta,xlm-roberta-base,23,30,32,1.3043,0.0,0,0,0,0
6741,english,xlm_roberta,xlm-roberta-base,6,7,9,1.1667,0.0,0,0,0,0
6114,english,xlm_roberta,xlm-roberta-base,5,7,9,1.4,0.0,0,0,0,0
8111,english,xlm_roberta,xlm-roberta-base,5,6,8,1.2,0.0,0,0,0,0
7722,english,xlm_roberta,xlm-roberta-base,9,15,17,1.6667,0.0,0,0,0,0
5027,english,xlm_roberta,xlm-roberta-base,9,10,12,1.1111,0.0,0,0,0,0
5725,english,xlm_roberta,xlm-roberta-base,5,6,8,1.2,0.0,0,0,0,0
9610,english,xlm_roberta,xlm-roberta-base,10,14,16,1.4,0.0,0,0,0,0
7899,english,xlm_roberta,xlm-roberta-base,16,17,19,1.0625,0.0,0,0,0,0
9052,english,xlm_roberta,xlm-roberta-base,5,5,7,1.0,0.0,0,0,0,0
6462,english,xlm_roberta,xlm-roberta-base,21,25,27,1.1905,0.0,0,0,0,0
4700,english,xlm_roberta,xlm-roberta-base,9,12,14,1.3333,0.0,0,0,0,0
3815,english,xlm_roberta,xlm-roberta-base,7,12,14,1.7143,0.0,0,0,0,0
5277,english,xlm_roberta,xlm-roberta-base,19,25,27,1.3158,0.0,0,0,0,0
4867,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
8073,english,xlm_roberta,xlm-roberta-base,5,6,8,1.2,0.0,0,0,0,0
7782,english,xlm_roberta,xlm-roberta-base,9,13,15,1.4444,0.0,0,0,0,0
5457,english,xlm_roberta,xlm-roberta-base,8,9,11,1.125,0.0,0,0,0,0
2799,english,xlm_roberta,xlm-roberta-base,33,38,40,1.1515,0.0,0,0,0,0
4041,english,xlm_roberta,xlm-roberta-base,5,7,9,1.4,0.0,0,0,0,0
8154,english,xlm_roberta,xlm-roberta-base,6,7,9,1.1667,0.0,0,0,0,0
6746,english,xlm_roberta,xlm-roberta-base,39,48,50,1.2308,0.0,0,0,0,0
361,english,xlm_roberta,xlm-roberta-base,8,9,11,1.125,0.0,0,0,0,0
7645,english,xlm_roberta,xlm-roberta-base,11,13,15,1.1818,0.0,0,0,0,0
2541,english,xlm_roberta,xlm-roberta-base,11,12,14,1.0909,0.0,0,0,0,0
4878,english,xlm_roberta,xlm-roberta-base,4,6,8,1.5,0.0,0,0,0,0
6167,english,xlm_roberta,xlm-roberta-base,12,15,17,1.25,0.0,0,0,0,0
1342,english,xlm_roberta,xlm-roberta-base,11,12,14,1.0909,0.0,0,0,0,0
