epoch,train_loss,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,n,negative_f1,negative_precision,negative_recall,n_negative_true,n_negative_pred,headline
1,0.5555273570806911,0.9671562082777037,0.8303530127545984,0.8813282347942608,0.7927401288724879,0.9650002257137058,7490,0.6780104712041884,0.7872340425531915,0.5954022988505747,435,329,0.6780104712041884
2,0.30510847103516026,0.9639519359145527,0.8394093044929184,0.8311223033754345,0.8482025464942936,0.964405092851199,7490,0.697986577181208,0.6797385620915033,0.7172413793103448,435,459,0.697986577181208
3,0.14012736313490176,0.9682242990654205,0.8464740939782279,0.8677883692662018,0.8278208167355019,0.9673116288623682,7490,0.7097560975609756,0.7558441558441559,0.6689655172413793,435,385,0.7097560975609756
